"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-1-habitaciones-2-banos-1-garajes/4278-1679,$1.500.000,50.0 m2,-74.03321511,4.70185647
"Apartamento en Arriendo, PRADERA NORTE Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pradera-norte-3-habitaciones-2-banos-0-garajes/4619-1026218,$1.350.000,73.0 m2,-74.03570677,4.74443877
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-3-habitaciones-5-banos-2-garajes/79-M2671,$9.000.000,280.0 m2,-74.04241353,4.6769528
"Apartamento en Arriendo, USAQUEN Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-usaquen-3-habitaciones-5-banos-2-garajes/2671-4665,$7.000.000,191.0 m2,-74.03131623,4.69354911
"Apartamento en Arriendo, LOS ALPES Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-alpes-3-habitaciones-4-banos-2-garajes/771-8801,$9.220.000,188.0 m2,-74.02846714,4.70099505
"Apartamento en Arriendo, URBANIZACION CASTILLA LA NUEVA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-urbanizacion-castilla-la-nueva-3-habitaciones-2-banos-1-garajes/183-12430,$965.000,58.0 m2,-74.14609054,4.63676165
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-4-habitaciones-0-banos-3-garajes/79-M2673,$11.000.000,258.0 m2,-74.0449794,4.67671012
"Apartamento en Arriendo, MARIA CRISTINA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-maria-cristina-1-habitaciones-1-banos-0-garajes/93-2292,$1.420.000,46.0 m2,-74.05603383,4.64618904
"Apartamento en Arriendo, LAS ACACIAS Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-acacias-3-habitaciones-4-banos-4-garajes/2415-50801,$7.900.000,247.0 m2,-74.05288147,4.64942608
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-2-garajes/2415-50810,$3.130.000,90.0 m2,-74.04346449,4.69122511
"Apartamento en Arriendo, SANTA BARBARA ALTA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-alta-2-habitaciones-3-banos-2-garajes/2412-487704,$11.000.000,193.0 m2,-74.02891499,4.68935851
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-4-habitaciones-4-banos-2-garajes/2415-50846,$5.000.000,208.0 m2,-74.03962664,4.70122149
"Apartamento en Arriendo, CHAPINERO CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chapinero-central-1-habitaciones-2-banos-1-garajes/3673-2115,$1.600.000,52.0 m2,-74.06346833,4.64664769
"Apartamento en Arriendo, EL PORVENIR Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-porvenir-3-habitaciones-2-banos-0-garajes/183-12431,$810.000,56.0 m2,-74.16578596,4.68059934
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-3-habitaciones-3-banos-2-garajes/2415-50847,$3.000.000,186.0 m2,-74.03998508,4.69766438
"Apartamento en Arriendo, COLSEGUROS Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-colseguros-4-habitaciones-2-banos-0-garajes/4619-1157005,$1.530.000,106.0 m2,-74.08455314,4.6204915
"Apartamento en Arriendo, LA CABRERA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-cabrera-2-habitaciones-2-banos/3424-1729,$2.800.000,114.61 m2,-74.04739614,4.66696739
"Apartamento en Arriendo, TIBANA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-tibana-2-habitaciones-2-banos-0-garajes/183-12428,$790.000,60.0 m2,-74.10925893,4.61083365
"Apartamento en Arriendo, EL PINO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-pino-2-banos/SUBA-04192301,$1.156.000,80.0 m2,-74.09215061,4.74749724
"Apartamento en Venta Y Arriendo, LA CAROLINA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-carolina-3-habitaciones-5-banos-3-garajes/464-1010,$5.500.000,263.0 m2,-74.04079202,4.70465419
"Apartamento en Arriendo, CHICO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-3-habitaciones-3-banos-3-garajes/3606-864,$1.900.000,110.0 m2,-74.05801493,4.67692903
"Apartamento en Arriendo, PUENTE LARGO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-puente-largo-2-banos/NIZA-03067209,$1.600.000,72.0 m2,-74.06586851,4.69731977
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-2-banos-1-garajes/346-3174,$2.000.000,56.0 m2,-74.04371465,4.6908583
"Apartamento en Arriendo, ATENAS Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-atenas-3-habitaciones-2-banos-1-garajes/2361-78410,$1.500.000,70.0 m2,-74.06525539,4.72866188
"Apartamento en Arriendo, LA ISABELA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-isabela-3-habitaciones-2-banos-1-garajes/2361-78089,$850.000,50.0 m2,-74.11117328,4.68967657
"Apartamento en Arriendo, URBANIZACION LA GRAN GRANADA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-urbanizacion-la-gran-granada-3-habitaciones-2-banos-0-garajes/164-201711004,$850.000,50.0 m2,-74.12661772,4.71870393
"Apartamento en Arriendo, SOCIEGO SUR Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-sociego-sur-3-habitaciones-2-banos-1-garajes/164-201711006,$1.200.000,65.0 m2,-74.09744317,4.57471161
"Apartamento en Arriendo, MODELIA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-modelia-3-habitaciones-2-banos/5027-56,$1.300.000,67.0 m2,-74.11440117,4.66507306
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-3-habitaciones-4-banos-2-garajes/183-12429,$3.500.000,140.0 m2,-74.05300976,4.69965262
"Apartamento en Venta Y Arriendo, EL REFUGIO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-el-refugio-3-habitaciones-4-banos-3-garajes/771-8868,$15.480.000,420.0 m2,-74.04294694,4.66784589
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-1-habitaciones-1-banos-1-garajes/778-3009-1,$1.300.000,36.0 m2,-74.05334148,4.68333013
"Apartamento en Arriendo, CIUDADELA REAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudadela-real-4-habitaciones-5-banos-4-garajes/4836-853,$9.000.000,350.0 m2,-74.02651369,4.71672343
"Apartamento en Arriendo, NICOLAS DE FEDERMAN Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-nicolas-de-federman-3-habitaciones-4-banos-2-garajes/633-827,$3.200.000,250.0 m2,-74.08361034,4.64800767
"Apartamento en Arriendo, LA CABRERA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-cabrera-3-habitaciones-2-banos-2-garajes/920-42147197,$3.500.000,107.0 m2,-74.05114122,4.66878193
"Apartamento en Arriendo, LA ACANADA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-acanada-3-habitaciones-4-banos-2-garajes/920-42147198,$6.000.000,200.0 m2,-74.02668973,4.72037017
"Apartamento en Arriendo, EL PLAN Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-plan-2-habitaciones-1-banos-0-garajes/183-12427,$1.310.000,52.0 m2,-74.06266875,4.74056062
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-3-habitaciones-3-banos-2-garajes/4042-752,$3.400.000,180.0 m2,-74.03547505,4.70114765
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-3-habitaciones-3-banos-2-garajes/79-M2686,$6.000.000,162.0 m2,-74.0419953,4.67730129
"Apartamento en Arriendo, RESTREPO OCCIDENTAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-restrepo-occidental-3-habitaciones-1-banos-1-garajes/3222-2649,$850.000,42.0 m2,-74.10268523,4.59275696
"Apartamento en Arriendo, LOS ROSALES Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-rosales-3-habitaciones-3-banos-2-garajes/79-M2103,$9.000.000,240.0 m2,-74.04697891,4.66163889
"Apartamento en Venta Y Arriendo, CHICO NORTE II Bogotá D.C..",http://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-ii-3-habitaciones-3-banos-3-garajes/79-M2682,$7.000.000,196.0 m2,-74.04211002,4.67875604
"Apartamento en Arriendo, CEDRITOS Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedritos-1-habitaciones-2-banos-1-garajes/183-12426,$1.460.000,51.0 m2,-74.03123631,4.71662678
"Apartamento en Arriendo, SABANALARGA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-sabanalarga-2-habitaciones-2-banos-2-garajes/34-56972,$1.800.000,78.0 m2,-74.04488595,4.70442167
"Apartamento en Arriendo, PALOQUEMAO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-paloquemao-3-habitaciones-1-banos/3222-2650,$700.000,71.0 m2,-74.08595461,4.61336037
"Apartamento en Arriendo, TOBERIN Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-toberin-3-habitaciones-2-banos-1-garajes/272-5241,$1.150.000,77.0 m2,-74.03887024,4.74830916
"Apartamento en Arriendo, BELLAVISTA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bellavista-2-habitaciones-3-banos-2-garajes/920-42147196,$4.200.000,125.0 m2,-74.05140865,4.65565514
"Apartamento en Arriendo, PRADOS DE LA CALLEJA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-prados-de-la-calleja-3-habitaciones-2-banos-2-garajes/2529-12937,$1.900.000,93.0 m2,-74.04839457,4.71183079
